id,title,release_date,revenue,budget,vote_average,vote_count,popularity,runtime,original_language,genres
980477,Ne Zha 2,2025-01-29,2259822417,80000000,8.162,727,38.1292,144,zh,"Animation, Action, Fantasy, Adventure"
1084242,Zootopia 2,2025-11-26,1868208796,150000000,7.668,2989,72.9283,108,en,"Animation, Adventure, Comedy, Mystery, Family"
83533,Avatar: Fire and Ash,2025-12-17,1490477656,350000000,7.6,3551,123.1454,198,en,"Science Fiction, Adventure, Fantasy"
533535,Deadpool & Wolverine,2024-07-24,1338073645,200000000,7.575,8817,34.3981,128,en,"Action, Comedy, Science Fiction"
1241982,Moana 2,2024-11-21,1059242164,150000000,7.008,3105,25.2422,100,en,"Adventure, Animation, Comedy, Family, Fantasy"
552524,Lilo & Stitch,2025-05-17,1038027526,100000000,7.2,2180,17.9205,108,en,"Family, Science Fiction, Comedy"
1226863,The Super Mario Galaxy Movie,2026-04-01,1007512277,110000000,8.226,2809,181.1445,98,en,"Family, Comedy, Adventure, Fantasy, Animation"
950387,A Minecraft Movie,2025-03-31,960387780,150000000,6.3,3051,26.5346,101,en,"Family, Fantasy, Comedy, Adventure"
936075,Michael,2026-04-22,942262159,250000000,8.692,2991,375.7553,128,en,"Music, Drama"
1234821,Jurassic World Rebirth,2025-06-23,869146189,180000000,6.3,3443,29.3721,134,en,"Science Fiction, Adventure, Action"
402431,Wicked,2024-10-16,758827029,150000000,6.906,3067,16.6351,162,en,"Drama, Romance, Fantasy"
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,733030221,20000000,7.727,874,108.3473,156,ja,"Animation, Action, Fantasy"
762509,Mufasa: The Lion King,2024-12-18,722631756,200000000,7.303,2685,16.5008,118,en,"Adventure, Family, Animation"
687163,Project Hail Mary,2026-03-15,683349773,200000000,8.691,5373,130.2689,157,en,"Science Fiction, Adventure"
1314481,The Devil Wears Prada 2,2026-04-29,677702888,100000000,6.546,835,35.0268,119,en,"Comedy, Drama"
1087192,How to Train Your Dragon,2025-06-06,636351148,150000000,7.93,2892,23.0102,125,en,"Fantasy, Family, Action, Adventure"
911430,F1,2025-06-25,634142436,300000000,7.803,4132,31.9876,156,en,"Action, Drama"
1061474,Superman,2025-07-09,618723803,225000000,7.3,4928,39.068,130,en,"Science Fiction, Adventure, Action"
575265,Mission: Impossible - The Final Reckoning,2025-05-17,598767057,400000000,7.168,2882,27.202,170,en,"Action, Thriller, Adventure"
967941,Wicked: For Good,2025-11-19,539042601,150000000,6.6,1038,11.2423,137,en,"Fantasy, Adventure, Romance"
1038392,The Conjuring: Last Rites,2025-09-03,499256445,55000000,6.935,1908,29.8247,136,en,Horror
939243,Sonic the Hedgehog 3,2024-12-19,492162604,122000000,7.615,3314,22.7433,110,en,"Action, Science Fiction, Comedy, Family"
912649,Venom: The Last Dance,2024-10-22,478937618,120000000,6.676,4271,19.7354,109,en,"Science Fiction, Action, Adventure"
558449,Gladiator II,2024-11-13,462180717,310000000,6.6,4485,11.6411,148,en,"Action, Adventure, Drama"
917496,Beetlejuice Beetlejuice,2024-09-04,452000435,99000000,6.932,3143,8.3077,105,en,"Comedy, Fantasy, Horror"
822119,Captain America: Brave New World,2025-02-12,415101577,180000000,5.969,3134,13.6338,119,en,"Action, Thriller, Science Fiction"
1368166,The Housemaid,2025-12-18,399644671,35000000,7.267,2496,52.5087,131,en,"Mystery, Thriller"
986056,Thunderbolts*,2025-04-30,382436917,180000000,7.291,3600,16.236,127,en,"Action, Science Fiction, Adventure"
718821,Twisters,2024-07-10,372262265,155000000,6.775,3018,6.4624,123,en,"Action, Thriller"
1327819,Hoppers,2026-03-04,372010783,150000000,8.197,1719,101.2632,104,en,"Adventure, Animation, Comedy, Family, Science Fiction"
1233413,Sinners,2025-04-16,370000000,100000000,7.497,4671,26.8581,138,en,"Horror, Action, Thriller"
1084244,Toy Story 5,2026-06-17,366656204,250000000,7.443,299,306.5614,102,en,"Animation, Family, Comedy, Adventure"
1079091,It Ends with Us,2024-08-07,351441044,55000000,6.945,1967,7.0908,131,en,"Drama, Romance"
945961,Alien: Romulus,2024-08-13,350865342,80000000,7.2,4596,11.0785,119,en,"Horror, Science Fiction"
1339713,Obsession,2026-05-13,339224215,750000,7.9,979,526.463,108,en,"Horror, Thriller"
1184918,The Wild Robot,2024-09-12,331982078,78000000,8.314,6183,30.633,102,en,"Family, Animation, Science Fiction, Adventure"
1228710,The Mandalorian and Grogu,2026-05-20,323364088,165000000,6.7,522,187.8376,132,en,"Action, Adventure, Science Fiction"
574475,Final Destination Bloodlines,2025-05-14,317854739,50000000,7.038,2897,18.676,110,en,"Horror, Mystery"
1083381,Backrooms,2026-05-27,301819646,10000000,6.9,729,108.5329,111,en,"Horror, Mystery, Science Fiction"
1078605,Weapons,2025-08-04,269972492,38000000,7.257,3514,17.3809,128,en,"Horror, Mystery"
762441,A Quiet Place: Day One,2024-06-26,261907653,67000000,6.642,3385,8.1175,100,en,"Horror, Science Fiction, Thriller"
425274,Now You See Me: Now You Don't,2025-11-12,243700000,90000000,6.5,1589,26.4864,112,en,"Crime, Thriller"
1175942,The Bad Guys 2,2025-07-24,239676236,80000000,7.652,801,14.6989,104,en,"Family, Comedy, Crime, Adventure, Animation"
1228246,Five Nights at Freddy's 2,2025-12-03,239568877,36000000,6.639,1001,19.5883,104,en,"Horror, Thriller"
857598,Pushpa 2 - The Rule,2024-12-04,219000000,52900000,6.3,148,9.6845,201,te,"Action, Drama, Thriller, Crime"
1159559,Scream 7,2026-02-25,213835967,45000000,6.191,1074,46.9465,114,en,"Horror, Mystery, Crime"
1054867,One Battle After Another,2025-09-23,209377100,175000000,7.4,3826,15.8759,162,en,"Thriller, Crime, Comedy"
889737,Joker: Folie à Deux,2024-10-01,207500287,190000000,5.403,2944,7.6054,138,en,"Drama, Crime, Thriller"
447273,Snow White,2025-03-19,205679463,271600000,4.301,1657,13.9842,109,en,"Family, Fantasy"
1273221,Scary Movie,2026-06-03,204299766,30000000,5.5,350,63.3615,96,en,"Comedy, Horror"
1297842,GOAT,2026-02-11,193566330,90000000,8.116,835,62.7357,100,en,"Animation, Comedy, Family"
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,191400000,4100000,8.436,958,25.6793,100,ja,"Animation, Action, Romance, Fantasy"
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,191400000,4100000,8.436,958,25.6793,100,ja,"Animation, Action, Romance, Fantasy"
1317288,Marty Supreme,2025-12-19,191303074,65000000,7.384,1878,14.3179,150,en,"Drama, Thriller"
845781,Red One,2024-10-31,185700759,250000000,6.983,3057,11.5332,124,en,"Action, Comedy, Fantasy"
1242898,Predator: Badlands,2025-11-05,184500000,105000000,7.8,3159,46.3397,107,en,"Action, Science Fiction, Adventure"
426063,Nosferatu,2024-12-25,181805645,50000000,6.7,3703,9.5848,133,en,"Horror, Fantasy"
1419406,The Shadow's Edge,2025-08-16,174400000,0,7.815,897,92.7369,142,zh,"Action, Crime, Drama, Thriller"
1275779,Disclosure Day,2026-06-10,172717890,115000000,6.694,666,179.6537,145,en,"Science Fiction, Thriller"
