id,title,release_date,revenue,budget,vote_average,vote_count,popularity,runtime,original_language,genres,youtube_key,trailer_url,view_count,like_count,comment_count,engagement_rate,movie_id,avg_sentiment,avg_subjectivity,n_comments_analyzed,positive_comments_pct,negative_comments_pct,neutral_comments_pct,log_revenue,log_views,log_likes
980477,Ne Zha 2,2025-01-29,2259822417,80000000,8.162,727,38.1292,144,zh,"Animation, Action, Fantasy, Adventure",ETlOSBR92Fs,https://www.youtube.com/watch?v=ETlOSBR92Fs,13184409,32778,2703,0.002486,980477.0,0.2177,0.4384,100.0,60.0,10.0,30.0,9.354074312445109,7.120060667023546,4.5155824508982265
83533,Avatar: Fire and Ash,2025-12-17,1490477656,350000000,7.6,3551,123.1454,198,en,"Science Fiction, Adventure, Fantasy",Ma1x7ikpid8,https://www.youtube.com/watch?v=Ma1x7ikpid8,17549453,235748,14926,0.013433,83533.0,0.2022,0.4144,100.0,60.0,11.0,29.0,9.173325469836184,7.244263584460885,5.372448017029098
533535,Deadpool & Wolverine,2024-07-24,1338073645,200000000,7.575,8817,34.3981,128,en,"Action, Comedy, Science Fiction",Idh8n5XuYIA,https://www.youtube.com/watch?v=Idh8n5XuYIA,9786695,208879,8048,0.021343,533535.0,0.0718,0.474,100.0,40.0,24.0,36.0,9.126480016822645,6.990636053846493,5.319894779652108
552524,Lilo & Stitch,2025-05-17,1038027526,100000000,7.2,2180,17.9205,108,en,"Family, Science Fiction, Comedy",VWqJifMMgZE,https://www.youtube.com/watch?v=VWqJifMMgZE,27107000,260672,21150,0.009616,552524.0,0.2747,0.5012,100.0,73.0,3.0,24.0,9.016208870113024,7.433081455775257,5.4160943840698845
950387,A Minecraft Movie,2025-03-31,960387780,150000000,6.3,3051,26.5346,101,en,"Family, Fantasy, Comedy, Adventure",aSh_L6bvaCQ,https://www.youtube.com/watch?v=aSh_L6bvaCQ,73302,475,74,0.00648,950387.0,0.1365,0.357,32.0,40.625,12.5,46.875,8.982446625445451,4.865115824260695,2.6766936096248664
936075,Michael,2026-04-22,942262159,250000000,8.692,2991,375.7553,128,en,"Music, Drama",k-YAcjaLuSI,https://www.youtube.com/watch?v=k-YAcjaLuSI,6298197,84729,4041,0.013453,936075.0,0.2833,0.4561,100.0,66.0,5.0,29.0,8.974171750316426,6.799216240720162,4.928032080748382
1234821,Jurassic World Rebirth,2025-06-23,869146189,180000000,6.3,3443,29.3721,134,en,"Science Fiction, Adventure, Action",2ZhB-YO5Tnk,https://www.youtube.com/watch?v=2ZhB-YO5Tnk,27066647,34970,2667,0.001292,1234821.0,0.2649,0.4084,100.0,62.0,4.0,34.0,8.93909283023041,7.4324344589626,4.543695632309245
402431,Wicked,2024-10-16,758827029,150000000,6.906,3067,16.6351,162,en,"Drama, Romance, Fantasy",pqi45Qhq3CI,https://www.youtube.com/watch?v=pqi45Qhq3CI,5601016,47878,4809,0.008548,402431.0,0.1839,0.4431,100.0,52.0,17.0,31.0,8.880142791821907,6.748266813286806,4.680136000399677
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,733030221,20000000,7.727,874,108.3473,156,ja,"Animation, Action, Fantasy",EpAlHmuA2YM,https://www.youtube.com/watch?v=EpAlHmuA2YM,427453,5608,294,0.01312,1311031.0,0.1507,0.2686,100.0,34.0,6.0,60.0,8.865121879883942,5.630888369443639,3.7488080049586023
762509,Mufasa: The Lion King,2024-12-18,722631756,200000000,7.303,2685,16.5008,118,en,"Adventure, Family, Animation",lMXh6vjiZrI,https://www.youtube.com/watch?v=lMXh6vjiZrI,8269079,47926,2263,0.005796,762509.0,0.2362,0.4302,100.0,58.0,4.0,38.0,8.858917042690805,6.917457141052917,4.680571183416578
687163,Project Hail Mary,2026-03-15,683349773,200000000,8.691,5373,130.2689,157,en,"Science Fiction, Adventure",NKYea63tQmI,https://www.youtube.com/watch?v=NKYea63tQmI,759609,3408,236,0.004487,687163.0,0.2832,0.412,100.0,52.0,3.0,45.0,8.834643054488241,5.880590101703713,3.5324995860946626
1314481,The Devil Wears Prada 2,2026-04-29,677702888,100000000,6.546,835,35.0268,119,en,"Comedy, Drama",PMd1at7OwiE,https://www.youtube.com/watch?v=PMd1at7OwiE,24474987,80376,3417,0.003284,1314481.0,0.2261,0.391,100.0,54.0,1.0,45.0,8.831039336370129,7.388722469797759,4.905126389251473
1087192,How to Train Your Dragon,2025-06-06,636351148,150000000,7.93,2892,23.0102,125,en,"Fantasy, Family, Action, Adventure",OWEq2Pf8qpk,https://www.youtube.com/watch?v=OWEq2Pf8qpk,23270024,95979,4503,0.004125,1087192.0,0.2611,0.4967,100.0,73.0,8.0,19.0,8.80369683192932,7.366796831205174,4.982176220729301
911430,F1,2025-06-25,634142436,300000000,7.803,4132,31.9876,156,en,"Action, Drama",ge_ABjtYx88,https://www.youtube.com/watch?v=ge_ABjtYx88,650628,4751,122,0.007302,911430.0,0.1589,0.3234,84.0,40.4762,9.5238,50.0,8.802186816590169,5.813332749360574,3.6767850304192056
1061474,Superman,2025-07-09,618723803,225000000,7.3,4928,39.068,130,en,"Science Fiction, Adventure, Action",MikgqM0LXr4,https://www.youtube.com/watch?v=MikgqM0LXr4,134537,1467,187,0.010904,1061474.0,0.0933,0.3458,95.0,35.7895,17.8947,46.3158,8.791496824138155,5.128841739253042,3.166430113843283
575265,Mission: Impossible - The Final Reckoning,2025-05-17,598767057,400000000,7.168,2882,27.202,170,en,"Action, Thriller, Adventure",G1VBfMCZVkw,https://www.youtube.com/watch?v=G1VBfMCZVkw,2035538,22092,1005,0.010853,575265.0,0.1335,0.3848,100.0,49.0,8.0,43.0,8.777257898289784,6.308679214323509,4.344235034551639
967941,Wicked: For Good,2025-11-19,539042601,150000000,6.6,1038,11.2423,137,en,"Fantasy, Adventure, Romance",R2Xubj7lazE,https://www.youtube.com/watch?v=R2Xubj7lazE,6793925,101189,4155,0.014894,967941.0,0.1319,0.3989,100.0,45.0,19.0,36.0,8.731623089209215,6.832120748264664,5.005133304016109
1038392,The Conjuring: Last Rites,2025-09-03,499256445,55000000,6.935,1908,29.8247,136,en,Horror,p4aWdkM5xF8,https://www.youtube.com/watch?v=p4aWdkM5xF8,903231,11500,397,0.012732,1038392.0,0.2027,0.437,100.0,54.0,6.0,40.0,8.698323679972123,5.955798834694038,4.060697840353612
912649,Venom: The Last Dance,2024-10-22,478937618,120000000,6.676,4271,19.7354,109,en,"Science Fiction, Action, Adventure",FKBN1qAzW3s,https://www.youtube.com/watch?v=FKBN1qAzW3s,609066,3330,138,0.005467,912649.0,0.1083,0.3427,87.0,41.3793,11.4943,47.1264,8.680278949901659,5.784664356479717,3.5224442335063197
558449,Gladiator II,2024-11-13,462180717,310000000,6.6,4485,11.6411,148,en,"Action, Adventure, Drama",TQwSz88ITAE,https://www.youtube.com/watch?v=TQwSz88ITAE,4043283,9660,1296,0.002389,558449.0,0.2437,0.3824,100.0,51.0,4.0,45.0,8.664811821984303,6.606734139809322,3.9849771264154934
917496,Beetlejuice Beetlejuice,2024-09-04,452000435,99000000,6.932,3143,8.3077,105,en,"Comedy, Fantasy, Horror",xnbAxOEiMis,https://www.youtube.com/watch?v=xnbAxOEiMis,45469,401,90,0.008819,917496.0,0.0847,0.2471,39.0,30.7692,10.2564,58.9744,8.655138852771579,4.657715402868895,2.603144372620182
822119,Captain America: Brave New World,2025-02-12,415101577,180000000,5.969,3134,13.6338,119,en,"Action, Thriller, Science Fiction",5PSzFLV-EyQ,https://www.youtube.com/watch?v=5PSzFLV-EyQ,1636530,42411,2645,0.025915,822119.0,0.1681,0.3341,100.0,39.0,8.0,53.0,8.618154383296845,6.213923970973102,4.627478512718182
1368166,The Housemaid,2025-12-18,399644671,35000000,7.267,2496,52.5087,131,en,"Mystery, Thriller",BqWH0KDqm3U,https://www.youtube.com/watch?v=BqWH0KDqm3U,2599694,6394,754,0.00246,1368166.0,0.3036,0.4311,100.0,59.0,3.0,38.0,8.601674026311965,6.414922231842978,3.8057726319356693
986056,Thunderbolts*,2025-04-30,382436917,180000000,7.291,3600,16.236,127,en,"Action, Science Fiction, Adventure",7rs_HhSA7XY,https://www.youtube.com/watch?v=7rs_HhSA7XY,296677,4851,594,0.016351,986056.0,0.326,0.4471,100.0,65.0,2.0,33.0,8.582559808487773,5.472283878772974,3.6858312746260635
718821,Twisters,2024-07-10,372262265,155000000,6.775,3018,6.4624,123,en,"Action, Thriller",AZbEi95SuMg,https://www.youtube.com/watch?v=AZbEi95SuMg,823313,3540,334,0.0043,718821.0,0.1969,0.3339,100.0,45.0,8.0,47.0,8.57084901544791,5.915564972916307,3.5490032620257876
1327819,Hoppers,2026-03-04,372010783,150000000,8.197,1719,101.2632,104,en,"Adventure, Animation, Comedy, Family, Science Fiction",PypDSyIRRSs,https://www.youtube.com/watch?v=PypDSyIRRSs,18450492,83380,5748,0.004519,1327819.0,0.2273,0.3894,100.0,57.0,5.0,38.0,8.570555528402133,7.26600795152685,4.921061890790279
1233413,Sinners,2025-04-16,370000000,100000000,7.497,4671,26.8581,138,en,"Horror, Action, Thriller",l2h2lC0vlX4,https://www.youtube.com/watch?v=l2h2lC0vlX4,218207,1062,85,0.004867,1233413.0,0.1139,0.4536,36.0,44.4444,33.3333,22.2222,8.568201724066995,5.338868678482437,3.0261245167454502
1079091,It Ends with Us,2024-08-07,351441044,55000000,6.945,1967,7.0908,131,en,"Drama, Romance",r-GQvSc5ZGw,https://www.youtube.com/watch?v=r-GQvSc5ZGw,3184004,15066,1358,0.004732,1079091.0,0.1676,0.3286,100.0,43.0,6.0,51.0,8.54585248038578,6.5029736046613715,4.1779979630965665
945961,Alien: Romulus,2024-08-13,350865342,80000000,7.2,4596,11.0785,119,en,"Horror, Science Fiction",x0XDEhP4MQs,https://www.youtube.com/watch?v=x0XDEhP4MQs,7828997,96185,12246,0.012286,945961.0,0.1501,0.4437,100.0,54.0,16.0,30.0,8.545140471317355,6.893706126647075,4.9831073493230305
1339713,Obsession,2026-05-13,339224215,750000,7.9,979,526.463,108,en,"Horror, Thriller",gMC8kkwbIQQ,https://www.youtube.com/watch?v=gMC8kkwbIQQ,15496796,0,6367,0.0,1339713.0,0.0953,0.5133,100.0,52.0,24.0,24.0,8.530486846136329,7.190241916018293,0.0
1228710,The Mandalorian and Grogu,2026-05-20,323364088,165000000,6.7,522,187.8376,132,en,"Action, Adventure, Science Fiction",uwild1rw7Aw,https://www.youtube.com/watch?v=uwild1rw7Aw,5705453,88611,5841,0.015531,1228710.0,0.2216,0.4388,100.0,58.0,11.0,31.0,8.509691786598676,6.756290132117936,4.947487637719669
574475,Final Destination Bloodlines,2025-05-14,317854739,50000000,7.038,2897,18.676,110,en,"Horror, Mystery",xitSoRbHJ50,https://www.youtube.com/watch?v=xitSoRbHJ50,341525,1097,42,0.003212,574475.0,0.0526,0.2771,30.0,26.6667,16.6667,56.6667,8.50222869085286,5.533422500007749,3.0402066275747113
1083381,Backrooms,2026-05-27,301819646,10000000,6.9,729,108.5329,111,en,"Horror, Mystery, Science Fiction",0HjdiohVOik,https://www.youtube.com/watch?v=0HjdiohVOik,41325582,681008,37763,0.016479,1083381.0,0.1301,0.399,100.0,46.0,12.0,42.0,8.479747505392185,7.616218978580052,5.833152213726953
1078605,Weapons,2025-08-04,269972492,38000000,7.257,3514,17.3809,128,en,"Horror, Mystery",QKHySfXqN0I,https://www.youtube.com/watch?v=QKHySfXqN0I,25343347,112986,6936,0.004458,1078605.0,0.2048,0.5369,100.0,68.0,11.0,21.0,8.431319515339666,7.403863969965025,5.053024633754017
762441,A Quiet Place: Day One,2024-06-26,261907653,67000000,6.642,3385,8.1175,100,en,"Horror, Science Fiction, Thriller",E-WIb4ATfT8,https://www.youtube.com/watch?v=E-WIb4ATfT8,3164425,18864,1782,0.005961,762441.0,0.2097,0.4191,100.0,52.0,5.0,43.0,8.418148188792207,6.500294806924095,4.275633787751014
425274,Now You See Me: Now You Don't,2025-11-12,243700000,90000000,6.5,1589,26.4864,112,en,"Crime, Thriller",lLWESUfW-0A,https://www.youtube.com/watch?v=lLWESUfW-0A,2222625,5897,297,0.002653,425274.0,0.1846,0.3291,100.0,45.0,2.0,53.0,8.386855529184725,6.346866194966737,3.7706311277778064
1228246,Five Nights at Freddy's 2,2025-12-03,239568877,36000000,6.639,1001,19.5883,104,en,"Horror, Thriller",NQypHE9_Fm4,https://www.youtube.com/watch?v=NQypHE9_Fm4,37332852,362727,13455,0.009716,1228246.0,0.1026,0.3782,100.0,45.0,11.0,44.0,8.379430397084942,7.57209116861771,5.559579883991196
1159559,Scream 7,2026-02-25,213835967,45000000,6.191,1074,46.9465,114,en,"Horror, Mystery, Crime",4g8OciWNJn4,https://www.youtube.com/watch?v=4g8OciWNJn4,2188824,16942,1781,0.00774,1159559.0,0.1134,0.3637,100.0,41.0,10.0,49.0,8.330080754922806,6.340210842014813,4.228964677405161
1054867,One Battle After Another,2025-09-23,209377100,175000000,7.4,3826,15.8759,162,en,"Thriller, Crime, Comedy",u6GVb4p7oD4,https://www.youtube.com/watch?v=u6GVb4p7oD4,101342,313,47,0.003089,1054867.0,0.087,0.2486,21.0,33.3333,0.0,66.6667,8.320929180267909,5.005789470907809,2.4955443375464483
889737,Joker: Folie à Deux,2024-10-01,207500287,190000000,5.403,2944,7.6054,138,en,"Drama, Crime, Thriller",fiqqAI0e4Nc,https://www.youtube.com/watch?v=fiqqAI0e4Nc,2593788,27367,2356,0.010551,889737.0,0.2007,0.3675,100.0,47.0,11.0,42.0,8.317018701734522,6.413934476685343,4.437227192190728
447273,Snow White,2025-03-19,205679463,271600000,4.301,1657,13.9842,109,en,"Family, Fantasy",KsSoo5K8CpA,https://www.youtube.com/watch?v=KsSoo5K8CpA,244583,868,352,0.003549,447273.0,0.0639,0.2462,100.0,31.0,9.0,60.0,8.313190929754791,5.388426267652155,2.938519725176492
1273221,Scary Movie,2026-06-03,204299766,30000000,5.5,350,63.3615,96,en,"Comedy, Horror",cGgWAHXuTKc,https://www.youtube.com/watch?v=cGgWAHXuTKc,5896834,16916,918,0.002869,1273221.0,0.1356,0.3373,100.0,41.0,9.0,50.0,8.31026786920236,6.770618902256572,4.228297676474863
1297842,GOAT,2026-02-11,193566330,90000000,8.116,835,62.7357,100,en,"Animation, Comedy, Family",kmY-rYS7yng,https://www.youtube.com/watch?v=kmY-rYS7yng,5292898,9193,646,0.001737,1297842.0,0.1932,0.2989,100.0,45.0,4.0,51.0,8.28682981595322,6.723693524736783,3.9634572601167077
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,191400000,4100000,8.436,958,25.6793,100,ja,"Animation, Action, Romance, Fantasy",GJ1jrCnm-t8,https://www.youtube.com/watch?v=GJ1jrCnm-t8,3578940,40445,1164,0.011301,1218925.0,0.2074,0.3603,200.0,50.0,5.0,45.0,8.281941933440825,6.553754417616789,4.606864839752301
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,191400000,4100000,8.436,958,25.6793,100,ja,"Animation, Action, Romance, Fantasy",GJ1jrCnm-t8,https://www.youtube.com/watch?v=GJ1jrCnm-t8,3578940,40445,1164,0.011301,1218925.0,0.2074,0.3603,200.0,50.0,5.0,45.0,8.281941933440825,6.553754417616789,4.606864839752301
